place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
692,25,99.58,spartan,Trey McBride,Jonathan Taylor,DK Metcalf,George Pickens,D'Andre Swift,Patrick Mahomes
692,25,99.58,benrothlesberger,Ja'Marr Chase,James Cook,Jaxon Smith-Njigba,Justin Fields,D'Andre Swift,Juwan Johnson
692,25,99.58,awe419,Jahmyr Gibbs,Amon-Ra St. Brown,Tony Pollard,Tetairoa McMillan,Patrick Mahomes,Evan Engram
695,25,99.54,bestballviper,CeeDee Lamb,James Cook,George Pickens,Dak Prescott,Kenneth Walker III,Dallas Goedert
695,25,99.54,krutches93,Saquon Barkley,James Cook,Tee Higgins,Davante Adams,Trevor Lawrence,Brenton Strange
697,25,99.46,bestballviper,Jonathan Taylor,Kyren Williams,Davante Adams,Ricky Pearsall,Brock Purdy,Juwan Johnson
698,25,99.44,thewood1105,Jahmyr Gibbs,James Cook,Marvin Harrison,George Pickens,Dak Prescott,Juwan Johnson
699,25,99.4,ingelx,Lamar Jackson,Malik Nabers,Tyler Warren,Zay Flowers,Dylan Sampson,Cedric Tillman
699,25,99.4,ecoxer10,Lamar Jackson,Chuba Hubbard,Marvin Harrison,Tyler Warren,J.K. Dobbins,Rome Odunze
701,25,99.38,nez,De'Von Achane,Kyren Williams,Sam LaPorta,Jameson Williams,Caleb Williams,Rome Odunze
702,25,99.36,copperprices,Jahmyr Gibbs,Tee Higgins,Tyreek Hill,Davante Adams,Mark Andrews,Jared Goff
703,25,99.34,nez,Ja'Marr Chase,Joe Burrow,Amon-Ra St. Brown,Brenton Strange,Jameson Williams,Tyrone Tracy
704,25,99.32,kkizzle,Josh Allen,Amon-Ra St. Brown,Garrett Wilson,Javonte Williams,David Njoku,Jameson Williams
705,25,99.3,slickwilly53,CeeDee Lamb,Amon-Ra St. Brown,Travis Etienne Jr.,TreVeyon Henderson,Drake Maye,Evan Engram
705,25,99.3,jtmckenzi,Jahmyr Gibbs,James Cook,Jaxon Smith-Njigba,Tyreek Hill,Drake Maye,Mark Andrews
707,25,99.28,laynes02,Ja'Marr Chase,Jaxon Smith-Njigba,DK Metcalf,Javonte Williams,David Njoku,Caleb Williams
708,25,99.24,cgeeeeee,Puka Nacua,Kyren Williams,Travis Etienne Jr.,George Pickens,Dak Prescott,Jake Ferguson
709,25,99.14,ez116,Ja'Marr Chase,Amon-Ra St. Brown,Joe Burrow,Jaylen Waddle,Brenton Strange,Dylan Sampson
709,25,99.14,bwells,Jahmyr Gibbs,Jaxon Smith-Njigba,Chuba Hubbard,George Pickens,Dak Prescott,Jake Ferguson
711,25,99.1,cavaleman,Trey McBride,Malik Nabers,TreVeyon Henderson,Zay Flowers,D'Andre Swift,Drake Maye
711,25,99.1,krutches93,Saquon Barkley,James Cook,Garrett Wilson,Travis Kelce,Drake Maye,Jaylen Waddle
713,25,99.08,krutches93,De'Von Achane,Malik Nabers,Garrett Wilson,Travis Kelce,Patrick Mahomes,Hollywood Brown
714,25,99.04,ez116,Ja'Marr Chase,Jalen Hurts,Travis Etienne Jr.,Tyler Warren,Davante Adams,David Montgomery
715,25,99,devo1235,Saquon Barkley,Amon-Ra St. Brown,Marvin Harrison,Mark Andrews,Kyler Murray,Rome Odunze
715,25,99,goazcards,Trey McBride,Puka Nacua,Travis Etienne Jr.,Tetairoa McMillan,Drake Maye,Dylan Sampson
715,25,99,diggy816,Lamar Jackson,James Cook,Javonte Williams,Marvin Harrison,Jameson Williams,Brenton Strange
715,25,99,sackreligious9,Trey McBride,Malik Nabers,Tony Pollard,D'Andre Swift,D.J. Moore,Drake Maye
719,25,98.98,awe419,CeeDee Lamb,Malik Nabers,Tony Pollard,Hollywood Brown,Patrick Mahomes,Jake Ferguson
719,25,98.98,cgeeeeee,Jahmyr Gibbs,James Cook,Tee Higgins,Hollywood Brown,Patrick Mahomes,Juwan Johnson
721,25,98.94,drapp,Trey McBride,Jonathan Taylor,Courtland Sutton,Javonte Williams,Bo Nix,Jaylen Waddle
722,25,98.88,awe419,Trey McBride,Malik Nabers,Tyreek Hill,Hollywood Brown,Patrick Mahomes,D'Andre Swift
723,25,98.86,payd,Ja'Marr Chase,Breece Hall,Zay Flowers,Jameson Williams,Hunter Henry,Jared Goff
